Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,14.660000,14.750000,13.040000,13.170000,8.301158,201008700
2005-02-01,13.270000,13.540000,12.490000,12.650000,8.034124,156431200
2005-03-01,12.570000,12.730000,10.940000,11.330000,7.195779,249706600
2005-04-01,11.650000,11.690000,9.070000,9.110000,5.785840,338405800
2005-05-01,9.160000,10.450000,9.070000,9.980000,6.406246,340305600
2005-06-01,10.040000,11.480000,9.850000,10.240000,6.573142,318812500
2005-07-01,10.220000,11.190000,10.120000,10.740000,6.894097,200316200
2005-08-01,10.720000,11.040000,9.640000,9.970000,6.459085,235811500
2005-09-01,9.970000,10.200000,9.550000,9.860000,6.387819,234833000
2005-10-01,10.000000,10.000000,7.980000,8.320000,5.390128,418776800
2005-11-01,8.330000,8.570000,7.570000,8.130000,5.332549,362280700
2005-12-01,8.240000,8.410000,7.640000,7.720000,5.063623,351545800
2006-01-01,7.720000,8.960000,7.660000,8.580000,5.627706,598794200
2006-02-01,8.530000,8.700000,7.960000,7.970000,5.288958,297568500
2006-03-01,8.000000,8.290000,7.390000,7.960000,5.282323,481735400
2006-04-01,8.050000,8.050000,6.910000,6.950000,4.612079,615060800
2006-05-01,7.080000,7.430000,6.750000,7.160000,4.818358,551201100
2006-06-01,7.210000,7.250000,6.170000,6.930000,4.663578,570531000
2006-07-01,6.980000,6.980000,6.060000,6.670000,4.488610,547360400
2006-08-01,6.680000,8.470000,6.470000,8.370000,5.673808,900324300
2006-09-01,8.420000,9.480000,7.610000,8.090000,5.484002,976324100
2006-10-01,8.100000,8.670000,7.810000,8.280000,5.612797,562889900
2006-11-01,8.330000,9.190000,8.000000,8.130000,5.511117,423233000
2006-12-01,8.100000,8.150000,6.850000,7.510000,5.090837,1949105900
2007-01-01,7.560000,8.620000,7.430000,8.130000,5.511117,1253117800
2007-02-01,8.170000,8.970000,7.600000,7.910000,5.361985,804246600
2007-03-01,7.770000,8.230000,7.440000,7.890000,5.348427,1042261300
2007-04-01,7.900000,8.380000,7.670000,8.040000,5.450109,696489400
2007-05-01,8.040000,8.980000,7.960000,8.340000,5.653471,774390500
2007-06-01,8.370000,9.700000,8.050000,9.420000,6.385575,923970500
2007-07-01,9.570000,9.640000,7.900000,8.510000,5.768710,1322019100
2007-08-01,8.480000,8.870000,7.490000,7.810000,5.294198,963134100
2007-09-01,7.780000,9.000000,7.500000,8.490000,5.755152,843237500
2007-10-01,8.560000,9.240000,8.130000,8.870000,6.012744,1072907700
2007-11-01,8.770000,8.990000,6.870000,7.510000,5.090837,1009426900
2007-12-01,7.520000,7.520000,6.650000,6.730000,4.562095,757103000
2008-01-01,6.730000,6.940000,5.500000,6.640000,4.501083,1158120600
2008-02-01,6.690000,6.930000,6.010000,6.530000,4.426519,763577100
2008-03-01,6.420000,6.420000,4.950000,5.720000,3.877440,1295999800
2008-04-01,5.770000,8.790000,5.770000,8.260000,5.599240,1884881200
2008-05-01,8.280000,8.680000,6.590000,6.800000,4.609543,1053065500
2008-06-01,6.850000,6.930000,4.460000,4.810000,3.260575,1298279800
2008-07-01,4.710000,6.330000,4.300000,4.800000,3.253796,1473192300
2008-08-01,4.800000,5.500000,4.240000,4.460000,3.023319,1026615100
2008-09-01,4.670000,5.700000,4.170000,5.200000,3.524946,1435125400
2008-10-01,4.750000,5.470000,1.800000,2.190000,1.484545,1674304400
2008-11-01,2.250000,2.740000,1.010000,2.690000,1.823481,1661350900
2008-12-01,3.000000,3.540000,2.020000,2.290000,1.552332,2541585300
