Date,Open,High,Low,Close,Adj Close,Volume
2005-01-01,63.349998,64.980003,61.200001,64.699997,40.436035,136191800
2005-02-01,64.610001,66.889999,64.519997,65.599998,40.998531,107556700
2005-03-01,66.470001,68.680000,66.120003,67.160004,42.155174,158100100
2005-04-01,67.320000,69.989998,66.650002,68.629997,43.077866,158634500
2005-05-01,68.680000,68.870003,66.760002,67.099998,42.117496,125789400
2005-06-01,67.099998,67.610001,64.430000,65.000000,40.999382,162476400
2005-07-01,64.820000,65.430000,62.669998,63.959999,40.343384,149908400
2005-08-01,64.250000,65.349998,61.650002,63.389999,39.983826,138029400
2005-09-01,63.180000,65.330002,62.849998,63.279999,40.120537,139445700
2005-10-01,63.180000,64.599998,60.529999,62.619999,39.702087,224158000
2005-11-01,62.480000,63.779999,60.000000,61.750000,39.150478,241169500
2005-12-01,61.849998,62.060001,59.759998,60.099998,38.303913,189869600
2006-01-01,61.070000,63.099998,57.450001,57.540001,36.672344,220695200
2006-02-01,57.669998,59.709999,56.700001,57.650002,36.742447,183341700
2006-03-01,57.619999,61.099998,57.450001,59.220001,37.956841,181202600
2006-04-01,59.490002,59.759998,57.320000,58.610001,37.565884,171133300
2006-05-01,58.709999,60.930000,58.189999,60.220001,38.597790,196603700
2006-06-01,60.250000,62.000000,58.970001,59.919998,38.643883,199396300
2006-07-01,60.130001,63.000000,59.680000,62.549999,40.340054,134968800
2006-08-01,62.380001,65.129997,62.290001,64.660004,41.700855,150477100
2006-09-01,64.870003,65.040001,63.250000,64.940002,42.124462,128522300
2006-10-01,65.000000,69.410004,64.500000,67.400002,43.720169,189511300
2006-11-01,67.379997,69.029999,65.220001,65.910004,42.753651,196072100
2006-12-01,65.910004,67.250000,65.290001,66.019997,43.066879,157532600
2007-01-01,66.129997,68.220001,65.900002,66.800003,43.575706,175594400
2007-02-01,66.800003,67.150002,62.720001,62.930000,41.051182,192375400
2007-03-01,62.349998,62.930000,59.869999,60.259998,39.538342,318147400
2007-04-01,60.259998,65.449997,60.029999,64.220001,42.136616,248968100
2007-05-01,64.529999,64.940002,61.650002,63.270000,41.513294,280281700
2007-06-01,63.349998,63.770000,60.730000,61.619999,40.695339,259962000
2007-07-01,61.939999,63.880001,59.720001,60.500000,39.955673,290358700
2007-08-01,60.509998,62.980000,60.310001,61.790001,40.807617,331077300
2007-09-01,61.630001,65.750000,61.259998,65.699997,43.681747,220556400
2007-10-01,65.660004,66.800003,63.549999,65.169998,43.329365,232885800
2007-11-01,64.800003,68.750000,63.730000,67.739998,45.038067,284874000
2007-12-01,67.620003,68.500000,66.550003,66.699997,44.622429,197170400
2008-01-01,66.559998,68.849998,61.720001,63.139999,42.240768,339978400
2008-02-01,63.349998,64.070000,61.360001,61.959999,41.451351,218925600
2008-03-01,62.000000,65.809998,61.169998,64.870003,43.686031,274621800
2008-04-01,65.129997,67.739998,64.510002,67.089996,45.181046,221952400
2008-05-01,67.129997,68.320000,64.540001,66.739998,44.945347,219962000
2008-06-01,66.550003,67.099998,63.099998,64.339996,43.634464,228287700
2008-07-01,63.750000,69.250000,63.740002,68.470001,46.435364,308621600
2008-08-01,68.500000,71.900002,67.930000,70.430000,47.764622,224063800
2008-09-01,71.089996,72.760002,66.900002,69.279999,47.289864,367504200
2008-10-01,69.070000,69.070000,52.060001,61.340000,41.870106,640425500
2008-11-01,61.490002,63.009998,54.490002,58.580002,39.986164,375653400
2008-12-01,57.660000,60.250000,54.950001,59.830002,41.178806,315194900
